scan,side,vessel,err,bed,meas_lost,clean,nout_clean,nout_bad,A,B,C,r_branch,branch_before_meas
878,left,LAD,T4,leaky,False,0.8623801543018363,4.0,4.0,0.8493859875737175,0.8606963694129828,0.8552750838089761,,
878,left,LAD,T4,share,False,0.7664391167367519,3.0,3.0,0.7799021581420027,0.7428860923598212,0.7461248000195863,,
878,left,LAD,T4,leaf3,False,0.8403608823305513,3.0,3.0,0.8381534911985399,0.8163718849796078,0.8154402976979708,,
878,left,LAD,T4,apport,False,0.7839607288440628,3.0,3.0,0.7929127093656735,0.7616251983589002,0.7641362397796286,,
878,right,RCA,T4,leaky,False,0.8053955914447748,2.0,2.0,0.8081515863198449,0.8164171261855069,0.9973373982471339,,
878,right,RCA,T4,share,False,0.7795473896328504,1.0,1.0,0.830841253589767,0.7600128588101931,0.9957056371761789,,
878,right,RCA,T4,leaf3,False,0.7795473896328504,1.0,1.0,0.830841253589767,0.7600128588103208,0.9957056371761789,,
878,right,RCA,T4,apport,False,0.7795473896328504,1.0,1.0,0.8308412535894492,0.7600128588105062,0.9957056371761789,,
844,left,LAD,T1,leaky,False,0.9642535615094598,5.0,4.0,0.9700809430136429,0.9645851795103629,0.9648989826580051,0.9396180998370192,False
844,left,LAD,T1,share,False,0.9686556482422203,5.0,4.0,0.9853187132590815,0.9729823988983951,0.9791336810803166,0.9396180998370192,False
844,left,LAD,T1,leaf3,False,0.971566943511409,5.0,4.0,0.9886029842809978,0.9849734250921073,0.9886779725732675,0.9396180998370192,False
844,left,LAD,T1,apport,False,0.9608477368941698,5.0,4.0,0.9848258041131249,0.9677543601547058,0.977057398769339,0.9396180998370192,False
844,left,LAD,T4,leaky,False,0.9642535615094598,5.0,5.0,0.9630467677164154,0.9599339514542938,0.996728197758697,,
844,left,LAD,T4,share,False,0.9686556482422203,5.0,5.0,0.9694762935362786,0.9633720630649204,0.9627483391659126,,
844,left,LAD,T4,leaf3,False,0.971566943511409,5.0,5.0,0.9715128656666402,0.9678364994857162,0.9678604941266825,,
844,left,LAD,T4,apport,False,0.9608477368941698,5.0,5.0,0.9623316476125661,0.953190069177284,0.9507228502903726,,
844,left,LCX,T1,leaky,False,0.947451747753169,5.0,4.0,0.9637088270410781,0.9604082274529996,0.9629425871420586,0.9360656762563753,False
844,left,LCX,T1,share,False,0.8912300349820762,5.0,4.0,0.9525911037121501,0.8936970441157515,0.9306757315737124,0.9360656762563753,False
844,left,LCX,T1,leaf3,False,0.8759163617037409,5.0,4.0,0.9461689926608776,0.9298278234370434,0.9479004251583683,0.9360656762563753,False
844,left,LCX,T1,apport,False,0.9307084163313365,5.0,4.0,0.9690462189591769,0.9442750366968934,0.9593748083486323,0.9360656762563753,False
844,left,LCX,T4,leaky,False,0.947451747753169,5.0,5.0,0.9419535665987312,0.9488347971661208,0.9978371661258081,,
844,left,LCX,T4,share,False,0.8912300349820762,5.0,5.0,0.8848751681886206,0.8807133828325394,0.8800681591478489,,
844,left,LCX,T4,leaf3,False,0.8759163617037409,5.0,5.0,0.8700498455189533,0.8677842325878814,0.8689321227299049,,
844,left,LCX,T4,apport,False,0.9307084163313365,5.0,5.0,0.924484259986348,0.9237339037585608,0.9237751020360092,,
686,right,RCA,T4,leaky,False,0.7939651709036989,1.0,1.0,0.7982354747229358,0.8603795180518168,0.9978646980212892,,
686,right,RCA,T4,share,False,0.8565953155111522,1.0,1.0,0.9190599501014513,0.8984850325394712,0.9963449773149928,,
686,right,RCA,T4,leaf3,False,0.8565953155100545,1.0,1.0,0.9190599501014513,0.8984850325394712,0.9963449773149928,,
686,right,RCA,T4,apport,False,0.8565953155111522,1.0,1.0,0.9190599501014513,0.8984850325394712,0.9963449773149928,,
80,right,RCA,T4,leaky,False,0.8203966353188965,2.0,1.0,0.8091998096058214,0.8378080516027826,0.996510885642359,,
80,right,RCA,T4,share,False,0.8080763847627673,1.0,1.0,0.8093611849201027,0.8028369593573818,0.9952377674978776,,
80,right,RCA,T4,leaf3,False,0.8080763847627673,1.0,1.0,0.8093611849201027,0.8028369593573818,0.9952377674978776,,
80,right,RCA,T4,apport,False,0.8080763847627453,1.0,1.0,0.8093611849202318,0.8028369593573818,0.9952377674978776,,
3,left,LAD,T1,leaky,False,0.844036637216716,6.0,5.0,0.9052442987505016,0.8877709671168736,0.906999383983053,0.8795800767261762,True
3,left,LAD,T1,share,False,0.8150905101663416,3.0,2.0,0.9184093703623554,0.8335237045025582,0.9128718862090878,0.8795800767261762,True
3,left,LAD,T1,leaf3,False,0.7186440669735743,3.0,2.0,0.8602563474114052,0.7964580642849076,0.877862139739785,0.8795800767261762,True
3,left,LAD,T1,apport,False,0.75012812071316,3.0,2.0,0.8829911697334821,0.8036468596894274,0.8847859586910316,0.8795800767261762,True
3,left,LAD,T4,leaky,False,0.844036637216716,6.0,6.0,0.8427116374535003,0.864127173998008,0.8553174318341511,,
3,left,LAD,T4,share,True,,,,,,,,
3,left,LAD,T4,leaf3,True,,,,,,,,
3,left,LAD,T4,apport,True,,,,,,,,
3,left,LCX,T4,leaky,False,0.9357113414993022,6.0,6.0,0.927529879908145,0.9466332911289165,0.9975928708895214,,
3,left,LCX,T4,share,False,0.846885655225746,3.0,3.0,0.8626752692761003,0.7836163698969958,0.7756706425989297,,
3,left,LCX,T4,leaf3,False,0.9113693160443661,3.0,3.0,0.9094517174772456,0.8818340446601859,0.8815427233228779,,
3,left,LCX,T4,apport,False,0.8879603076497393,3.0,3.0,0.8912209616369625,0.8534875949811923,0.8560260454158057,,
